,kernel,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
26,((PER + RQ) * SE),0.03693573029598416,-0.04400751062686594,0.006357318355318651,0.02654199041196501,0.018562353618898606,-0.020929301924735768,0.007898505559000237,0.014467351045807712,0.0025972356959751736,0.0063778391043426705,0.010514627816999446,0.002138822760213645,-0.005189401006878941,0.000362358332943649,-0.004740372215779294
27,((PER + RQ) + PER),0.03452727418651395,-0.034852149727249634,-0.038686815874589824,-0.020505186212103496,-0.01042905578335829,0.022725102040138178,-0.009776440730917359,-0.0078952107033696,0.007644190047145857,0.0044188779313269755,0.005422570660646484,0.0032021219192746924,-0.005197694691305789,-0.008369639783455209,-0.002792131855164595
28,((PER + RQ) + RQ),-0.054702458224854145,-0.07777307954918919,0.0020198551182170105,-0.013094529641300201,0.01816256291518129,0.003382092254475861,-0.011839927878544208,-0.012413519017517399,-0.009812532784240487,-0.0016340714293502112,0.002686039443750515,-0.003205399126918015,0.0037286946755973765,0.0026401856242508908,0.0015374042177795629
29,((PER + RQ) + SE),-0.05341819930536913,-0.07351598635676705,-0.0015725513549609343,-0.008157786811722302,0.017705048915881805,-0.004233558978371898,-0.00892973962592955,-0.007011190974630052,-0.004356026381564812,0.004265423895171274,-0.001897349123202216,-0.003131261880750505,0.0050764587841431695,0.0024941201700756045,0.0019110611609899743
30,((PER + SE) * PER),0.1907181261175061,0.03526316987058108,0.0023520247548445717,-0.019813008769855985,-0.0015887522362936176,-0.0013749329750944992,-0.01618626163591783,0.011267995223395187,0.001818025579676314,-0.0006300499208613171,0.010287307816785838,0.009591402669237147,0.007569010856555585,0.0016162701915705508,0.005552283850002678
31,((PER + SE) * RQ),0.035725067186982776,-0.046863525740732416,0.005593305570586401,0.025739584955088567,0.018658943098460026,-0.020037155468185432,0.006844571540307282,0.012102500253801274,-0.0005841440650263758,0.005984436590341592,0.009629641865050208,-0.0022923546345390107,-0.0065542040726289915,0.0010985355217894674,-0.0009941545394990749
32,((PER + SE) * SE),0.03842879271251821,-0.04128943602958611,0.004077499978166761,0.029301008688317674,0.018251585529667345,-0.023479711460023037,0.008693083865424268,0.015429905362845036,0.0028030629701136112,0.00729894316655279,0.010743024762290759,-0.0004992312875906927,-0.004215890954017396,-0.0026643639563578626,-0.004648892703694621
33,((PER + SE) + PER),0.03914515981388495,-0.03401592789825434,-0.04177283311535556,-0.014204675943494437,-0.00881028803816545,0.019433089444885386,-0.007297163084200185,-0.009325133212898072,0.009605598115895841,0.006989874613422391,-0.0011830621165959123,0.0029070699951350104,-0.002400983605826992,-0.008389410412387317,-0.0013614784789373973
34,((PER + SE) + RQ),-0.053431480358182605,-0.07363350406145486,-0.001962317614765093,-0.008187058691411139,0.017692355775500393,-0.003915142647958079,-0.008193345674899119,-0.006565504156355364,-0.0044645597235961,0.0038075380118641595,-0.0013632652989069341,-0.0028807990400284353,0.00622392978899186,0.0026185814668550915,0.0018985981263602532
35,((PER + SE) + SE),-0.05229313482447163,-0.0688374095345049,-0.005678680193752744,-0.0035480802789297303,0.017157427909732802,-0.010740654473247803,-0.005779252285341629,-0.001412263536532155,0.0014109779446894854,0.010115506128424805,-0.005748150607098018,-0.00342802809410118,0.008111194152293957,0.0023473535833789905,0.00042066700433069065
36,((RQ * PER) * PER),0.2435555648654812,0.06328058651241324,0.04595273318861057,-0.023750571291579498,0.017091358434749515,-0.013596415971056718,-0.031798016837591966,0.001685520072173124,-0.004222690452831885,0.0022046055833920535,-0.0011088981120861519,0.0007668357218462981,-0.002477416068305235,-0.00023688436225126374,-0.002720495191754583
37,((RQ * PER) * RQ),0.1786515487118145,0.017239782817278504,0.008968959197540793,0.024913434653767448,0.010836869574882627,0.0087507495600559,0.016458062280165588,-0.007095207825459183,-0.0023297356434375895,-0.00021529289570294602,-0.0010438530856759747,0.0015154381686522714,0.0011186128850446348,-0.0003934099626168323,-0.0016611964551489597
38,((RQ * PER) * SE),0.18191364862265913,0.01678117120258485,0.0098923461639161,0.025476656895791944,0.013069994415173673,0.006527855646935812,0.01858868725491286,-0.00791235019406094,-0.004648507716122348,-0.0004132920537021435,-0.002668994415902677,0.005867825372654899,0.003681173854297705,-0.003974953151568207,-0.0004273302174304075
39,((RQ * PER) + PER),0.13056782018494653,0.013007404640925188,-0.03030059226828162,-0.0070090784235807896,-0.0243668257062469,0.014327730071964404,-0.009900487304040055,0.02332049861531243,0.00045708324933738613,-0.009910569737769413,0.003170877889405203,-0.005203468881184943,0.011595733202923904,-0.001797513978402663,-0.0018318339021266554
40,((RQ * PER) + RQ),0.010999840775696604,-0.060011024785257244,0.03967847802871493,0.011489506302001525,-0.049732773564318385,0.0010174787886515805,-0.003422817124562431,-0.0009140903425285054,-0.0064530255795746064,-0.009080529199189754,-0.0011274392691000277,-0.0033168834113050435,-0.004001181109594727,-0.00383463932301987,0.004552522483156455
41,((RQ * PER) + SE),0.013476879587838378,-0.05352803331021814,0.0345106232289518,0.02018297655818141,-0.05011980162979916,-0.009493626174892602,0.0011534587509602426,0.009089281189113785,0.00012654330959227828,-0.0018868644574061638,-0.008024298900795344,-0.0014320716399361857,0.001163369569046717,0.0029773746285846666,0.006096762621002499
42,((RQ * RQ) * PER),0.1786568708555199,0.017178859198653494,0.008846087088084926,0.02468910558002802,0.010959794934480384,0.008938296474254488,0.016654889856986474,-0.006496486103363147,-0.003197998248771996,-0.0004975611792622694,-0.0022008037034404533,0.0010161470739722595,-0.0002215793598391396,-0.0009126229093432506,0.002059843083964597
43,((RQ * RQ) * RQ),-0.15566406874310443,0.044727419599148104,-0.030458092926872928,0.02651735220231516,-0.010539279766568472,-0.010274210079071608,-0.013604690027182037,-0.009665772984382126,-0.007732962655884081,-0.002408377455986056,0.003539488069700797,-0.0003984998928462553,0.0005435294843193046,0.0012278087187699686,-0.005273426209448094
44,((RQ * RQ) * SE),-0.15498435874561076,0.05127142993686304,-0.03430281976455443,0.030554149345393473,-0.011387793766437466,-0.013144101245969297,-0.012566556136296776,-0.007802583430295419,-0.003956440408963792,-0.002554278998556929,0.0012995587399747869,-0.001524175549619315,0.0017604978700811625,0.0011821088841398111,-0.0017074555640021708
